"drug name","hard drug","aliases","related terms"
"pcp",False,"['php','rolicyclidine','superweed','ace','alien sex fiend','amoeba','angel','angel dust','angel hair','angel mist','angel poke','animal tranquilizer','aurora borealis','black acid','black whack','blue madman','blue star','boat','busy bee','butt naked','cadillac','cliffhanger','columbo','cozmos','crazy coke','crazy eddie','cucuy','cyclones','detroit pink','dipper','domex','dummy dust','dust','dust joint','dust of angels','elephant','elephant tranquilizer','embalming fluid','energizer','fake stp','flakes','goon','gorilla tab','gorilla biscuits','green leaves','green tea','heaven & hell','hog','horse tracks','horse tranquilizers','jet fuel','juice','kaps','k-blast','killer','kools','leaky leak','lemon 714','lethal weapon','love boat','mad dog','mad man','magic dust','mean green','mint leaf','mint weed','mist','monkey dust','monkey tranquilizer','new acid','new magic','orange crystal','ozone','paz','peace pill','peep','peter pan','pig killer','puffy','purple rain','red devil','rocket fuel','rupture','scuffle','sheets','sherms','shermstick','space','spores','stardust','stp','super grass','super kools','surfer','synthetic cocaine','taking a cruise','t-buzz','tic tac','tish','trank','venom','wack','water','wet','white horizon','wobble weed','wolf','worm','yellow fever','zombie','zoom','black eagle']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"dma ",False,"['pma','dr death','dph']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"fentanyl",True,"['china white','alfentanil','alfenta','duragesic','oralet','actiq','sublimaze','innovar','apache','birria','butter','china girl','china town','china white','chinese','chinese food','crazy','crazy one','dance fever','dragon','dragon's breath','facebook','fent','fenty','fire','friend','girl','goodfella','great bear','he-man','jackpot','king ivory','lollipop','murder 8','poison','shoes','tango & cash','toe tag dope','white girl','blonde','blue diamond','blue dolphin','blues','chinese buffet','f','food','freddy','fuf','gray stuff','heineken','huerfanito','humid','nal','nil','nyl','opes','pharmacy','snowflake','tango and cash','tnt','white ladies']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"mda",True,"['love drug']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"mdma",True,"['ecstasy','xtc','nexus','mandy','hug drug','ecky','disco biscuit','pinger','adam','baby slits','bean','blue kisses','booty juice','candy','chocolate chips','clarity','dancing shoes','decadence','doctor','domex','e','e-bomb','ecstasy','essence','eve','kleenex','love doctor','love drug','love potion #9','love trip','molly','moon rock','roll','rolling','running','scooby snacks','skittle','slits','smartees','speed for lovers','sweets','vitamin e','vitamin x','adam','beans','blue superman','bombs','disco biscuits','drop','go','goog','green apple','happy pill','hug','love flip','lover's speed','malcolm x','peace','pingaz','pingers','rolls','smacks','smarties','tacha','thizz','vowels','white mercedes','x','yokes']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"dextromoramide",False,"['palfiul','jetrium','narcolo']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"dmt",False,"['dxm']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"ghb",True,"['blue nitro','g','geeb','georgia home boy','grievous bodily harm','gina','liquid e','liquid x','scoop','blowout','bruno mars','cherry meth','easy lay','everclear','fantasy','g','gamma oh','goop','great hormones at bedtime','g-riffic','jib','monkey juice','organic quaalude','salty water']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"marijuana",False,"['marihuana','pot','ayahuasca','cannabis','salvia','magic mint','sally d','space cake','magic brownie','indica','420','acapulco gold','acapulco red','ace','african black','african bush','airplane','alfombra','alice b toklas','allstar','angola','animal cookies','arizona','ashes','aunt mary','baby','bale','bambalachacha','barbara jean','bareta','bash','bc budd','bernie','budder','bhang','big pillows','biggy','black bart','black gold','black maria','blondie','blue cheese','blue crush','blue jeans','blue sage','blueberry','bobo bush','boo','boom','broccoli','bud','budda','burritos verdes','bush','cabbage','cali','canadian black','catnip','cheeba','chernobyl','cheese','chicago black','chicago green','chippie','chistosa','christmas tree','chronic','churo','cigars','citrol','cola','colorado cocktail','cookie','cotorritos','crazy weed','creeper bud','crippy','crying weed','culican','dank','dew','diesel','dimba','dinkie dow','dirt grass','ditch weed','dizz','djamba','dody','dojo','domestic','donna juana','doobie','downtown brown','drag weed','dro','droski','dry high','endo','fine stuff','fire','flower','flower tops','fluffy','fuzzy lady','gallito','garden','gauge','gangster','ganja','gash','gato','ghana','gigigiggle smoke','giggle weed','girl scout cookies','gloria','gold','gold leaf','gold star','gong','good giggles','gorilla','gorilla glue','grand daddy purp','grass','grasshopper','green','green-eyed girl','green eyes','green goblin','green goddess','green mercedes benz','green paint','green skunk','grenuda','greta','guardada','gummy bears','gunga','hairy ones','hash','hawaiian','hay','hemp','herb','hierba','holy grail','homegrown','hooch','humo','hydro','indian boy','indian hay','jamaican gold','jamaican red','jane','jive','jolly green','jon-jem','joy smoke','juan valdez','juanita','jungle juice','kaff','kali','kaya','kb','kentucky blue','kgb','khalifa','kiff','killa','kilter','king louie','kona gold','kumba','kush','laughing grass','laughing weed','leaf','lechuga','lemon-lime','liamba','lime pillows','little green friends','little smoke','loaf','lobo','loco weed','love nuggets','love weed','m.j.','machinery','macoña','mafafa','magic smoke','manhattan silver','maracachafa','maria','marimba','mariquita','mary ann','mary jane','mary jones','mary warner','mary weaver','matchbox','matraca','maui wowie','meg','method','mexican brown','mexican green','mexican red','mochie','moña','monte','moocah','mootie','mora','morisqueta','mostaza','mota','mother','mowing the lawn','muggie','narizona','northern lights','o-boy','o.j.','owl','paja','panama cut','panama gold','panama red','pakalolo','palm','paloma','parsley','pelosa','phoenix','pillow','pine','platinum cookies','platinum jack','pocket rocket','popcorn','pot','pretendo','puff','purple haze','queen ann's lace','ragweed','railroad weed','rainy day woman','rasta weed','red cross','red dirt','reefer','reggie','repollo','righteous bush','root','rope','rosa maria','salt & pepper','santa marta','sasafras','sativa','sinsemilla','shmagma','shora','shrimp','shwag','skunk','skywalker','smoke','smoochy woochy poochy','smoke canada','spliff','stems','stink weed','sticky icky','sugar weed','sweet lucy','tahoe','tex-mex','texas tea','tila','tims','tosca','trees','tweeds','wacky tobacky','wake and bake','weed','weed tea','wet','wheat','white-haired lady','wooz','yellow submarine','yen pop','yerba','yesca','young girls','zacate','zacatecas','zambi','zoom','a-bomb','alfalfa','all-star','almohada','az','bazooka','bionic','blue dream','branches','café','cajita','camara','churro','devils's lettuce','diosa verde','elefante pata','escoba','fattie','gallina','garifa','gigi','giggle smoke','green crack','greenhouse','hoja','leña','llesca','loud','lucas','manteca','mersh','mexicali haze','mmj','my brother','nug','og','palomita','pasto','pasture','peliroja','pink panther','pintura','plant','porro','prop 215','purple og','red hair','salt and pepper','shoes','sour og','sticky','tangy og','terp','terpenes','tigitty','top shelf','train wreck','trinity og','valle','zip','710','bhno','bho','black glass','bubble hash','butane hash oil','butane honey oil','caviar','cbd','cbd oil','crystalline','crumble','dabs','dipper','ear wax','edibles','enail','errl','extract','full melt','glob','heady','honey oil','iwe','ice water hash','klear','live resin','moon rocks','rosin','rosin tech','sap','sauce','shatter','solventless','terp sauce','thca','thca crystal','thca crystalline','thca powder','trichrome','wax']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"mephedrone",True,"['ephedrine','ephedrine','methcathinone']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
