"drug name","hard drug","aliases","related terms"
"pcp",False,"['php','rolicyclidine','superweed','rmv','black acid','cozmos','dust joint','dust of rmvs','fake stp','paz','peace pill','sherms','synthetic cocaine','t-buzz','wobble weed']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"dma ",False,"['pma','dr death','dph']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"fentanyl",True,"['china white','alfentanil','alfenta','duragesic','oralet','actiq','sublimaze','innovar','fent','fenty’,'opes']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"mda",True,"['love drug']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"mdma",True,"['ecstasy','xtc','nexus','mandy','hug drug','ecky','disco biscuit','booty juice','domex','e-bomb','ecstasy','molly','happy pill','lover’s speed','pingaz','pingers','thizz','yokes']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"dextromoramide",False,"['palfiul','jetrium','narcolo']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"dmt",False,"['dxm']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"ghb",True,"['blue nitro','geeb', 'cherry meth','organic quaalude']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"marijuana",False,"['marihuana','cannabis','salvia','magic mint','space cake','magic brownie','indica','420','acapulco gold','acapulco red','budder','bhang',bud','catnip','crazy weed','creeper bud','dinkie dow','ganja','hash','hemp','herb','hierba','hooch','mary jane','jive','kaya','kush','laughing grass','m.j.','magic smoke','mary ann','mary jones','mexican brown','mexican green','mexican red','mota','pot','ragweed','sativa','sinsemilla','texas tea','weed','yerba','yesca','green crack','mexicali haze','terpenes','bubble hash','butane hash oil','cbd','crystalline','dipper','edibles','iwe','ice water hash','solventless','thca','thca crystal','thca crystalline','thca powder']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"mephedrone",True,"['ephedrine']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"mecloqualone",False,"['nubarene']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"mescaline",False,"['peyote', 'mescal','mescapade','mezcakuba']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"methaqualone",False,"['quaalude','parest','somnafac','optimil','mandrax']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"psylocybin",False,"['magic mushrooms','shroom','psilocyn','psilocin','nutmeg','psychedelic','mushie','mush','purple haze']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"amobarbital",True,"['amytal','tuinal','phenibut','barb']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"amphetamine",True,"['dexedrine','adderall','obetrol','vyvanse','elvanse','addie','addy','zing','nootropic', 'head drugs','pastillas','pep pills','uppers']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
